Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
21,22.0,1.0,8.0,1.0,0,12,Kota Kinabalu,Orient Green,502,8.4,4216.8
9,23.0,3.0,14.0,1.0,0,6,Shah Alam,SJVN Ltd.,616,7.7,4743.2
13,23.0,3.0,8.0,12.0,0,8,Johor Bahru,Neueon Towers / Sujana Towers Ltd.,589,8.1,4770.9
7,20.0,2.0,12.0,7.0,0,6,Kota Kinabalu,L&T Transmission & Distribution,595,8.4,4998.0
9,23.0,3.0,17.0,7.0,0,9,Alor Setar,Ringfeder Power Transmission India Pvt. Ltd.,487,7.9,3847.3
21,22.0,0.0,9.0,1.0,0,3,Seremban,SJVN Ltd.,512,7.4,3788.8
22,22.0,3.0,9.0,1.0,0,2,Kuala Terengganu,NHPC,405,9.2,3726.0
8,18.0,3.0,19.0,1.0,0,11,Kota Kinabalu,Reliance Energy,388,8.4,3259.2000000000003
6,22.0,3.0,10.0,1.0,0,1,Kuala Terengganu,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",437,9.2,4020.4
20,23.0,3.0,5.0,1.0,0,3,Melaka,L&T Transmission & Distribution,656,8.5,5576.0
7,21.0,0.0,4.0,1.0,0,12,Kota Kinabalu,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,300,8.4,2520.0
6,18.0,2.0,7.0,7.0,0,9,Ipoh,Orient Green,523,7.6,3974.8
14,23.0,2.0,4.0,1.0,0,7,Kota Kinabalu,L&T Transmission & Distribution,565,8.4,4746.0
17,22.0,1.0,6.0,1.0,0,6,Shah Alam,L&T Transmission & Distribution,561,7.7,4319.7
20,23.0,3.0,11.0,1.0,0,7,Kuala Terengganu,Neueon Towers / Sujana Towers Ltd.,628,9.2,5777.599999999999
11,23.0,3.0,8.0,1.0,0,11,Muar,KEC International,560,8.2,4592.0
13,22.0,0.0,7.0,1.0,0,8,Kota Kinabalu,CESC,425,8.4,3570.0
14,22.0,2.0,14.0,12.0,0,2,Subang Jaya,Unitech Power Transmission Ltd.,632,7.8,4929.599999999999
22,22.0,3.0,5.0,1.0,0,9,Petaling Jaya,KEC International,560,9.1,5096.0
15,23.0,1.0,13.0,1.0,0,11,Johor Bahru,Kalpataru Power,389,8.1,3150.9
6,21.0,3.0,19.0,1.0,0,2,Kuantan,CESC,576,8.9,5126.400000000001
6,19.0,1.0,4.0,1.0,0,8,Ipoh,CESC,340,7.6,2584.0
7,18.0,3.0,4.0,1.0,0,8,Kota Kinabalu,Reliance Power,417,8.4,3502.8
7,23.0,2.0,13.0,1.0,0,4,Kuching,Jaiprakash Power,503,9.3,4677.900000000001
22,23.0,1.0,6.0,1.0,0,12,Melaka,Tata Power Company Ltd.,561,8.5,4768.5
18,23.0,2.0,13.0,1.0,0,8,Kuching,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),588,9.3,5468.400000000001
7,21.0,3.0,11.0,1.0,0,10,Johor Bahru,Bonfiglioli Transmission Pvt. Ltd.,584,8.1,4730.4
21,22.0,2.0,21.0,1.0,0,10,Batu Pahat,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,771,8.8,6784.8
22,22.0,3.0,4.0,1.0,0,9,Muar,NHPC,643,8.2,5272.599999999999
18,22.0,0.0,16.0,1.0,0,3,Subang Jaya,Tata Power Company Ltd.,552,7.8,4305.599999999999
13,23.0,1.0,8.0,12.0,0,5,Batu Pahat,Sunil Hitech Eng,683,8.8,6010.400000000001
5,21.0,3.0,6.0,1.0,0,5,Subang Jaya,Optibelt Power Transmission India Private Limited,436,7.8,3400.8
8,23.0,2.0,17.0,1.0,0,7,Kuala Terengganu,Kalpataru Power,681,9.2,6265.2
14,22.0,2.0,21.0,12.0,0,2,Kuala Lumpur,Unitech Power Transmission Ltd.,668,8.7,5811.599999999999
15,22.0,1.0,14.0,1.0,0,10,Batu Pahat,TransRail Lighting,381,8.8,3352.8
12,22.0,3.0,14.0,1.0,0,10,Kuching,Jaiprakash Power,643,9.3,5979.900000000001
15,23.0,1.0,22.0,1.0,0,1,Subang Jaya,TransRail Lighting,495,7.8,3861.0
6,22.0,3.0,9.0,1.0,0,10,Muar,Kalpataru Power,544,8.2,4460.799999999999
23,22.0,3.0,20.0,1.0,0,5,Shah Alam,Unitech Power Transmission Ltd.,675,7.7,5197.5
20,23.0,1.0,18.0,1.0,0,6,Kota Kinabalu,Reliance Power,665,8.4,5586.0
10,17.0,1.0,10.0,1.0,0,2,Kuching,Jaiprakash Power,243,9.3,2259.9
23,22.0,2.0,12.0,12.0,0,9,Subang Jaya,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",735,7.8,5733.0
18,22.0,2.0,8.0,1.0,0,5,Petaling Jaya,Ringfeder Power Transmission India Pvt. Ltd.,587,9.1,5341.7
14,22.0,0.0,3.0,1.0,0,9,Alor Setar,Ringfeder Power Transmission India Pvt. Ltd.,287,7.9,2267.3
23,22.0,2.0,18.0,1.0,0,7,Seremban,Tata Power Company Ltd.,756,7.4,5594.400000000001
12,23.0,0.0,14.0,1.0,0,8,Johor Bahru,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,460,8.1,3726.0
17,22.0,3.0,7.0,1.0,0,8,Kuala Terengganu,Sterlite Power Transmission Ltd,480,9.2,4416.0
6,22.0,1.0,11.0,1.0,0,7,Muar,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),345,8.2,2828.9999999999995
7,23.0,3.0,3.0,1.0,0,12,Petaling Jaya,Torrent Power Ltd.,545,9.1,4959.5
6,22.0,1.0,20.0,1.0,0,4,Batu Pahat,NTPC Pvt. Ltd.,407,8.8,3581.6000000000004
15,23.0,2.0,7.0,1.0,0,1,Kuantan,NTPC Pvt. Ltd.,389,8.9,3462.1000000000004
17,22.0,1.0,13.0,1.0,0,1,Muar,Ringfeder Power Transmission India Pvt. Ltd.,519,8.2,4255.799999999999
20,22.0,3.0,20.0,12.0,0,9,Johor Bahru,Sterlite Power Transmission Ltd,662,8.1,5362.2
12,23.0,0.0,4.0,1.0,0,4,Klang,Guj Ind Power,302,8.3,2506.6000000000004
12,23.0,0.0,16.0,1.0,0,2,Melaka,Kalpataru Power,582,8.5,4947.0
23,22.0,0.0,8.0,1.0,0,1,Batu Pahat,L&T Transmission & Distribution,346,8.8,3044.8
12,22.0,1.0,22.0,1.0,0,3,Kuantan,Sunil Hitech Eng,506,8.9,4503.400000000001
6,22.0,1.0,4.0,1.0,0,1,Johor Bahru,Reliance Energy,487,8.1,3944.7
7,18.0,0.0,21.0,7.0,0,12,Melaka,Sterlite Power Transmission Ltd,476,8.5,4046.0
16,22.0,0.0,8.0,1.0,0,12,Petaling Jaya,Neueon Towers / Sujana Towers Ltd.,373,9.1,3394.3
18,22.0,1.0,16.0,1.0,0,10,Muar,Bonfiglioli Transmission Pvt. Ltd.,599,8.2,4911.799999999999
8,20.0,0.0,7.0,7.0,0,3,Kuching,L&T Transmission & Distribution,422,9.3,3924.6
7,20.0,2.0,11.0,1.0,0,4,Ipoh,Jaiprakash Power,351,7.6,2667.6
17,23.0,1.0,12.0,1.0,0,11,Melaka,Torrent Power Ltd.,512,8.5,4352.0
15,23.0,3.0,4.0,1.0,0,4,Ipoh,Kalpataru Power,569,7.6,4324.4
17,23.0,3.0,19.0,1.0,0,7,Muar,Tata Power Company Ltd.,776,8.2,6363.2
17,22.0,0.0,13.0,1.0,0,10,Johor Bahru,Ringfeder Power Transmission India Pvt. Ltd.,467,8.1,3782.7
15,22.0,2.0,6.0,12.0,0,3,Kota Kinabalu,SJVN Ltd.,696,8.4,5846.400000000001
20,22.0,1.0,6.0,1.0,0,12,Klang,Sterlite Power Transmission Ltd,357,8.3,2963.1000000000004
18,22.0,0.0,7.0,1.0,0,12,Kuantan,NHPC,325,8.9,2892.5
20,22.0,1.0,8.0,12.0,0,3,Kuantan,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),717,8.9,6381.3
23,22.0,2.0,11.0,1.0,0,4,Petaling Jaya,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",419,9.1,3812.9
5,23.0,0.0,4.0,1.0,0,7,Subang Jaya,GE T&D India Limited,478,7.8,3728.4
12,23.0,3.0,16.0,1.0,0,7,Ipoh,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),548,7.6,4164.8
8,23.0,3.0,3.0,1.0,0,4,Kuala Lumpur,NTPC Pvt. Ltd.,508,8.7,4419.599999999999
10,20.0,0.0,7.0,1.0,0,12,Subang Jaya,NHPC,299,7.8,2332.2
17,22.0,3.0,18.0,1.0,0,7,Muar,Kalpataru Power,537,8.2,4403.4
11,22.0,2.0,10.0,1.0,0,12,Kuala Terengganu,Reliance Energy,473,9.2,4351.599999999999
19,23.0,2.0,5.0,1.0,0,10,Alor Setar,TransRail Lighting,449,7.9,3547.1000000000004
13,23.0,3.0,21.0,1.0,0,1,Shah Alam,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,618,7.7,4758.6
22,23.0,0.0,22.0,1.0,0,9,Muar,Kalpataru Power,540,8.2,4428.0
12,23.0,1.0,20.0,1.0,0,4,Johor Bahru,L&T Transmission & Distribution,530,8.1,4293.0
19,23.0,2.0,6.0,1.0,0,3,Batu Pahat,Power Grid Corp,578,8.8,5086.400000000001
15,22.0,3.0,17.0,1.0,0,2,Alor Setar,JSW Energy Ltd.,418,7.9,3302.2000000000003
10,22.0,0.0,12.0,7.0,0,2,Seremban,Orient Green,406,7.4,3004.4
19,22.0,3.0,10.0,1.0,0,1,Kuching,Torrent Power Ltd.,521,9.3,4845.3
5,18.0,3.0,9.0,1.0,0,2,Alor Setar,Tata Power Company Ltd.,458,7.9,3618.2
16,22.0,3.0,8.0,12.0,0,2,Batu Pahat,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,666,8.8,5860.8
7,17.0,3.0,14.0,1.0,0,8,Kuala Terengganu,Torrent Power Ltd.,325,9.2,2989.9999999999995
22,23.0,0.0,20.0,12.0,0,10,Kuching,Reliance Power,684,9.3,6361.200000000001
19,23.0,0.0,14.0,1.0,0,2,Petaling Jaya,L&T Transmission & Distribution,491,9.1,4468.099999999999
7,20.0,2.0,13.0,1.0,0,12,Johor Bahru,Sterlite Power Transmission Ltd,528,8.1,4276.8
14,22.0,3.0,20.0,1.0,0,5,Ipoh,Sunil Hitech Eng,742,7.6,5639.2
16,23.0,1.0,22.0,12.0,0,3,Kuching,SJVN Ltd.,768,9.3,7142.400000000001
10,19.0,0.0,10.0,1.0,0,12,Kuala Lumpur,GE T&D India Limited,503,8.7,4376.099999999999
7,17.0,1.0,18.0,7.0,0,11,Kuching,SJVN Ltd.,536,9.3,4984.8
9,19.0,1.0,12.0,1.0,0,1,Seremban,Torrent Power Ltd.,472,7.4,3492.8
15,22.0,1.0,19.0,1.0,0,1,Ipoh,CESC,634,7.6,4818.4
15,23.0,2.0,8.0,1.0,0,10,Kota Kinabalu,Guj Ind Power,384,8.4,3225.6000000000004
12,22.0,2.0,11.0,1.0,0,3,Melaka,CESC,438,8.5,3723.0
14,22.0,1.0,10.0,12.0,0,7,Johor Bahru,NHPC,701,8.1,5678.099999999999
15,22.0,2.0,16.0,1.0,0,6,Klang,Indowind Energy,462,8.3,3834.6
9,23.0,2.0,7.0,1.0,0,3,Alor Setar,Bonfiglioli Transmission Pvt. Ltd.,601,7.9,4747.900000000001
19,22.0,0.0,10.0,1.0,0,9,Seremban,NLC India,408,7.4,3019.2000000000003
12,22.0,2.0,6.0,1.0,0,6,Kota Kinabalu,Jaiprakash Power,463,8.4,3889.2
6,23.0,2.0,19.0,7.0,0,7,Kota Kinabalu,SJVN Ltd.,602,8.4,5056.8
23,22.0,0.0,12.0,1.0,0,6,Shah Alam,Unitech Power Transmission Ltd.,635,7.7,4889.5
23,23.0,0.0,22.0,1.0,0,8,Shah Alam,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,563,7.7,4335.1
18,23.0,3.0,12.0,1.0,0,8,Kuantan,Torrent Power Ltd.,726,8.9,6461.400000000001
7,20.0,1.0,16.0,1.0,0,12,Batu Pahat,TransRail Lighting,412,8.8,3625.6
7,21.0,3.0,22.0,1.0,0,12,Alor Setar,Neueon Towers / Sujana Towers Ltd.,675,7.9,5332.5
11,22.0,2.0,13.0,1.0,0,9,Kuala Terengganu,Reliance Energy,385,9.2,3541.9999999999995
13,22.0,0.0,21.0,12.0,0,10,Ipoh,Reliance Power,744,7.6,5654.4
13,22.0,1.0,18.0,1.0,0,4,Subang Jaya,Reliance Energy,410,7.8,3198.0
13,23.0,2.0,14.0,12.0,0,1,Ipoh,KEC International,591,7.6,4491.599999999999
7,23.0,1.0,14.0,1.0,0,4,Batu Pahat,Reliance Power,521,8.8,4584.8
18,23.0,2.0,10.0,1.0,0,5,Batu Pahat,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",596,8.8,5244.8
22,23.0,2.0,4.0,1.0,0,4,Klang,Power Grid Corp,415,8.3,3444.5000000000005
16,23.0,0.0,8.0,1.0,0,12,Subang Jaya,NLC India,503,7.8,3923.4
7,17.0,3.0,17.0,1.0,0,10,Alor Setar,L&T Transmission & Distribution,526,7.9,4155.400000000001
13,22.0,0.0,12.0,1.0,0,6,Kuantan,NTPC Pvt. Ltd.,377,8.9,3355.3
14,22.0,2.0,6.0,1.0,0,3,Batu Pahat,L&T Transmission & Distribution,376,8.8,3308.8
17,23.0,3.0,21.0,1.0,0,6,Kuantan,NTPC Pvt. Ltd.,724,8.9,6443.6
11,22.0,2.0,12.0,12.0,0,7,Johor Bahru,Reliance Power,707,8.1,5726.7
11,23.0,0.0,4.0,1.0,0,11,Kuala Lumpur,Jyoti Structure,365,8.7,3175.4999999999995
5,19.0,2.0,8.0,1.0,0,2,Klang,Bonfiglioli Transmission Pvt. Ltd.,308,8.3,2556.4
16,23.0,3.0,5.0,1.0,0,8,Kuala Lumpur,Orient Green,543,8.7,4724.099999999999
6,22.0,1.0,9.0,1.0,0,3,Klang,Sunil Hitech Eng,355,8.3,2946.5000000000005
6,21.0,2.0,4.0,7.0,0,9,Subang Jaya,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,502,7.8,3915.6
5,19.0,2.0,16.0,1.0,0,8,Klang,Guj Ind Power,455,8.3,3776.500000000001
9,19.0,0.0,13.0,7.0,0,12,Alor Setar,Guj Ind Power,543,7.9,4289.7
12,23.0,1.0,7.0,1.0,0,11,Johor Bahru,L&T Transmission & Distribution,461,8.1,3734.1
8,17.0,1.0,8.0,1.0,0,7,Batu Pahat,Power Grid Corp,412,8.8,3625.6
15,22.0,3.0,16.0,12.0,0,9,Kota Kinabalu,Neueon Towers / Sujana Towers Ltd.,633,8.4,5317.2
6,19.0,2.0,15.0,1.0,0,12,Petaling Jaya,Jaiprakash Power,480,9.1,4368.0
9,17.0,0.0,11.0,7.0,0,5,Kuala Lumpur,CESC,348,8.7,3027.6
20,22.0,2.0,6.0,1.0,0,10,Subang Jaya,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),623,7.8,4859.4
12,22.0,3.0,9.0,1.0,0,3,Klang,TransRail Lighting,465,8.3,3859.500000000001
5,18.0,0.0,14.0,1.0,0,6,Klang,Ringfeder Power Transmission India Pvt. Ltd.,371,8.3,3079.3
21,22.0,1.0,12.0,1.0,0,11,Alor Setar,KEC International,561,7.9,4431.900000000001
20,22.0,2.0,9.0,1.0,0,8,Batu Pahat,Sunil Hitech Eng,673,8.8,5922.400000000001
7,18.0,1.0,15.0,1.0,0,8,Seremban,Ringfeder Power Transmission India Pvt. Ltd.,535,7.4,3959.0
12,22.0,3.0,6.0,12.0,0,4,Petaling Jaya,Ringfeder Power Transmission India Pvt. Ltd.,513,9.1,4668.3
8,17.0,1.0,4.0,7.0,0,10,Alor Setar,Indowind Energy,460,7.9,3634.0
20,23.0,2.0,12.0,1.0,0,8,Muar,Optibelt Power Transmission India Private Limited,483,8.2,3960.6
7,17.0,2.0,10.0,1.0,0,7,Kota Kinabalu,Sunil Hitech Eng,370,8.4,3108.0
11,23.0,3.0,18.0,1.0,0,10,Kota Kinabalu,Sunil Hitech Eng,678,8.4,5695.2
7,23.0,0.0,19.0,1.0,0,8,Shah Alam,Orient Green,459,7.7,3534.3
22,23.0,3.0,19.0,12.0,0,1,Ipoh,Tata Power Company Ltd.,717,7.6,5449.2
21,22.0,2.0,15.0,1.0,0,7,Batu Pahat,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,617,8.8,5429.6
5,22.0,3.0,9.0,1.0,0,5,Kuching,Tata Power Company Ltd.,488,9.3,4538.400000000001
22,22.0,2.0,20.0,1.0,0,12,Alor Setar,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,614,7.9,4850.6
21,23.0,3.0,13.0,1.0,0,11,Seremban,Power Grid Corp,556,7.4,4114.400000000001
6,18.0,0.0,9.0,1.0,0,8,Kuala Lumpur,Unitech Power Transmission Ltd.,301,8.7,2618.7
9,20.0,2.0,19.0,1.0,0,4,Petaling Jaya,Unitech Power Transmission Ltd.,569,9.1,5177.9
9,21.0,3.0,22.0,1.0,0,8,Batu Pahat,Sterlite Power Transmission Ltd,527,8.8,4637.6
16,22.0,1.0,3.0,1.0,0,11,Subang Jaya,Unitech Power Transmission Ltd.,322,7.8,2511.6
16,23.0,1.0,21.0,1.0,0,6,Ipoh,TransRail Lighting,712,7.6,5411.2
6,18.0,0.0,17.0,1.0,0,10,Muar,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),442,8.2,3624.4
19,23.0,1.0,17.0,12.0,0,2,Muar,Orient Green,509,8.2,4173.799999999999
11,23.0,3.0,20.0,1.0,0,1,Kuantan,Unitech Power Transmission Ltd.,648,8.9,5767.2
11,22.0,2.0,14.0,1.0,0,3,Batu Pahat,KEC International,394,8.8,3467.2000000000003
15,22.0,2.0,14.0,1.0,0,6,Kuala Terengganu,Bonfiglioli Transmission Pvt. Ltd.,487,9.2,4480.4
21,23.0,2.0,5.0,1.0,0,2,Kota Kinabalu,JSW Energy Ltd.,417,8.4,3502.8
10,23.0,2.0,19.0,1.0,0,12,Klang,L&T Transmission & Distribution,504,8.3,4183.200000000001
11,22.0,3.0,4.0,1.0,0,9,Kuala Lumpur,Jyoti Structure,503,8.7,4376.099999999999
22,22.0,3.0,4.0,1.0,0,10,Subang Jaya,Kalpataru Power,503,7.8,3923.4
15,22.0,2.0,10.0,12.0,0,4,Melaka,TransRail Lighting,514,8.5,4369.0
23,23.0,2.0,20.0,1.0,0,5,Ipoh,Ringfeder Power Transmission India Pvt. Ltd.,741,7.6,5631.599999999999
21,23.0,1.0,8.0,1.0,0,1,Subang Jaya,Power Grid Corp,407,7.8,3174.6
13,23.0,3.0,17.0,1.0,0,11,Petaling Jaya,Sterlite Power Transmission Ltd,522,9.1,4750.2
18,22.0,2.0,14.0,1.0,0,10,Ipoh,L&T Transmission & Distribution,506,7.6,3845.6
13,22.0,1.0,3.0,1.0,0,8,Batu Pahat,KEC International,420,8.8,3696.000000000001
22,23.0,0.0,15.0,12.0,0,11,Seremban,NLC India,735,7.4,5439.0
